"913","Half-day","2016-04-14 07:21:37","2016-04-14 07:21:37"
"914","Full-day","2016-04-14 07:21:46","2016-04-14 10:45:04"
"1029","Salsa","2016-04-21 19:40:48","2016-04-21 20:02:27"
"1030","Modern Dance","2016-04-21 19:41:21","2016-04-21 20:02:17"
"1031","Ballet","2016-04-21 19:42:07","2016-04-21 20:02:09"
"1032","Gymnastics","2016-04-21 19:42:23","2016-04-21 20:01:34"
"1168","Tank + Weights (1 Dive)","2016-04-29 20:27:41","2016-04-29 20:27:42"
"1169","Tank + Weights (5 Dives)","2016-04-29 20:28:14","2016-04-29 20:28:14"
"1170","Tank + Weights (10 Dives)","2016-04-29 20:28:43","2016-04-29 20:28:43"
"1171","Tank + Weights (15 Dives)","2016-04-29 20:28:59","2016-04-29 20:28:59"
"1175","Tank + Weights (20 Dives)","2016-04-29 20:29:28","2016-04-29 20:29:28"
"1177","Full Kit (1 Dive)","2016-04-29 20:33:12","2016-04-29 20:33:12"
"1178","Full Kit (5 Dives)","2016-04-29 20:33:23","2016-04-29 20:33:23"
"1179","Full Kit (10 Dives)","2016-04-29 20:33:35","2016-04-29 20:33:35"
"1180","Full Kit (15 Dives)","2016-04-29 20:34:05","2016-04-29 20:34:05"
"1181","Full Kit (20 Dives)","2016-04-29 20:34:13","2016-04-29 20:34:13"
"1188","Tank + Weights","2016-04-29 21:28:07","2016-04-29 21:28:07"
"1189","Full Kit","2016-04-29 21:28:15","2016-04-29 21:28:15"
"1228","Pick up from Nicosia/ Kyrenia/ Famagusta","2016-05-01 18:05:17","2016-05-01 18:06:29"
"1229","Pick up from Karpaz","2016-05-01 18:05:49","2016-05-01 18:05:49"
"1380","Nicosia Pick up","2016-05-08 14:52:43","2016-05-08 14:52:43"
"1381","Kyrenia Pick up","2016-05-08 14:52:59","2016-05-08 14:52:59"
"1382","Famagusta Pick up","2016-05-08 14:53:13","2016-05-08 14:53:13"
"1424","1 day","2016-05-09 17:55:12","2016-05-09 17:55:12"
"1425","2 days hire","2016-05-09 17:55:25","2016-05-09 17:55:25"
"1426","3 days hire","2016-05-09 17:55:39","2016-05-09 18:08:50"
"1503","Child Price","2016-05-16 09:37:16","2016-05-16 09:37:16"
"1504","Adult price","2016-05-16 09:37:38","2016-05-16 09:37:38"
"1547","Corral Fish Trip","2016-05-17 10:28:07","2016-05-17 10:28:07"
"1548","Tuna Fish Trip (max 5 people)","2016-05-17 10:28:20","2016-05-17 10:29:39"
"1549","Deep Drop Fishing Trip (max 5 people)","2016-05-17 10:30:34","2016-05-17 10:30:50"
"1550","Slow Jigging Trip (Max 5 people)","2016-05-17 10:31:15","2016-05-17 10:31:15"
"1855","Ceramic Workshop","2016-06-14 12:32:31","2016-06-14 12:32:31"
"1856","Ceramic Workshop + Firing","2016-06-14 12:35:19","2016-06-14 12:35:19"
"1891","First Jump","2016-06-18 15:34:11","2016-06-18 15:34:11"
"1892","2 Jumps","2016-06-18 15:34:25","2016-06-18 15:35:14"
"1893","3 Jumps","2016-06-18 15:35:00","2016-06-18 15:35:00"
"1895","4 Jumps","2016-06-18 17:47:22","2016-06-18 17:47:22"
"1896","5 Jumps","2016-06-18 17:47:48","2016-06-18 17:47:48"
"1897","6 Jumps","2016-06-18 17:50:53","2016-06-18 17:50:53"
"2030","Eating at a Restaurant","2016-07-01 12:38:24","2016-07-01 12:38:24"
"2031","Home made","2016-07-01 12:38:32","2016-07-01 12:38:32"
"2083","Child (7-12 age)","2016-07-05 20:18:28","2016-07-05 20:18:28"
"2084","Adult","2016-07-05 20:18:44","2016-07-05 20:18:44"
"2087","Sightseeing only","2016-07-05 21:20:58","2016-07-05 21:21:29"
"2088","Sightseeing + Traditional Meal Together","2016-07-05 21:21:22","2016-07-05 21:21:22"
"2150","1 person in double room","2016-07-07 15:44:51","2016-07-07 15:44:51"
"2151","2 people","2016-07-07 15:45:23","2016-07-07 15:45:23"
"2152","2 people, room with fan","2016-07-07 15:45:32","2016-07-07 15:45:32"
"2153","2 people in triple room","2016-07-07 15:48:13","2016-07-07 15:48:13"
"2154","3 people in triple room","2016-07-07 15:49:04","2016-07-07 15:49:04"
"2204","Tour + Pastry","2016-07-11 13:04:12","2016-07-11 13:04:12"
"2205","Tour + Kleftiko","2016-07-11 13:04:37","2016-07-11 13:04:37"
"2661","Tango shoes","2016-08-08 08:43:31","2016-08-08 08:43:31"
"2663","Traditional shoes","2016-08-08 09:02:22","2016-08-08 09:02:22"
"2664","Custom Design","2016-08-08 09:04:57","2016-09-01 14:07:28"
"2683","Ottoman Chang Shoes (Traditional Male Boots)","2016-08-08 09:48:24","2016-09-01 14:08:00"
"2809","Cooking Class (Child)","2016-09-08 15:51:18","2016-09-08 15:59:47"
"2810","Cooking Classes & Gourmet Market Tour (Child)","2016-09-08 15:51:35","2016-09-08 15:59:34"
"2813","Cooking Class (Adult)","2016-09-08 15:59:55","2016-09-08 15:59:55"
"2814","Cooking Classes & Gourmet Market Tour (Adult)","2016-09-08 16:00:06","2016-09-08 16:00:06"
"2815","Cooking Class (Child) [Italian or Greek]","2016-09-08 16:03:13","2016-09-08 16:03:13"
"2816","Cooking Classes & Gourmet Market Tour (Child) [Italian or Greek]","2016-09-08 16:03:30","2016-09-08 16:03:30"
"2817","Cooking Class (Adult) [Italian or Greek]","2016-09-08 16:03:48","2016-09-08 16:03:48"
"2818","Cooking Classes & Gourmet Market Tour (Adult) [Italian or Greek]","2016-09-08 16:04:03","2016-09-08 16:04:03"
"2836","1 to 6 people","2016-09-18 09:45:04","2016-09-18 09:45:04"
"2837","7 people","2016-09-18 09:45:27","2016-09-18 09:49:29"
"2838","8 people","2016-09-18 09:45:42","2016-09-18 09:49:36"
"2839","9 people","2016-09-18 09:46:18","2016-09-18 09:49:42"
"2840","10 people","2016-09-18 09:50:24","2016-09-18 09:50:24"
"2841","11 people","2016-09-18 09:50:32","2016-09-18 09:50:32"
"2842","12 people","2016-09-18 09:50:54","2016-09-18 09:50:54"
"2843","13 people","2016-09-18 09:52:17","2016-09-18 09:52:17"
"3042","Dive in Limassol","2016-09-27 12:22:03","2016-09-27 12:22:03"
"3043","Dive in Akamos (meet at Latchi port)","2016-09-27 12:23:22","2016-09-27 12:26:40"
